"Отметка времени","Где апельсин?","Где яблоко?","Где яблоко?","Где апельсин?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?","Где яблоко?","Где апельсин?","Где апельсин?","Где яблоко?","Где яблоко?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?","Где апельсин?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?","Где апельсин?","Где яблоко?"
"2016/10/10 9:46:58 ПП GMT+3","слева от вазы","справа от вазы","рядом со стулом, на краю стола","на краю стола","перед вазой","за вазой","за вазой","перед вазой","перед вазой","за вазой","слева на краю стола","справа на краю стола","слева от вазы","слева от вазы","перед вазой","за вазой","слева от вазы","перед вазой","в третьей четверти стола","в четвертой четверти стола","слева у края стола","справа у края стола","возле вазы","на краю стола"
"2016/10/10 11:38:43 ПП GMT+3","слева от тарелки","справа от тарелки","справа на краю стола","слева на краю стола","рядом с тарелкой","на краю стола","за тарелкой","рядом с тарелкой","рядом с тарелкой","за тарелкой","слева на краю стола","справа на краю стола","слева от тарелки","снизу от таелки","рядом с тарелкой","за тарелкой","слева от тарелки","справа от тарелки","слева от тарелки","справа от тарелки","слева от диско шара","справа от диско шара","рядом с диско шаром","на краю стола"
"2016/10/11 12:38:59 ДП GMT+3","в третьем кольце от края стола","на третьей орбитали от вазы","на предпоследней орбитали от вазы","на последней орбитали","перед вазой","вдали","в пространстве вероятностей","перед вазой","перед вазой","в пространстве вероятностей","слева от меня","справа от меня","на третьей орбитали от края","на третьей орбитали от центра","на первой орбитали от центра","неизвестно","на второй орбитали от центра","на четвертой орбитали от центра","на четвертой орбитали от центра","на пятой орбитали от центра","на первой орбитали от края","на второй орбитали от края","на первой орбитали от центра","на последней орбитали от центра"
"2016/10/11 1:33:02 ДП GMT+3","слева от вазы","справа от вазы","на краю","на краю","перед вазой","на краю ","его нет","перед вазой","перед вазой","нет его","на краю","на краю","слева от вазы","слева от вазы","перед вазой","нет его","слева от вазы","юго-восток","между стулом и вазой","между стулом и вазой","на краю стола","справа от вазы","перед вазой","на краю стола"
"2016/10/11 1:46:58 ДП GMT+3","Слева от плошки/за плошкой","Справа от плошки/перед плошкой","За плошкой","Перед плошкой","Перед плошкой","За плошлой слева","Целиком за плошкой","Перед плошкой","Перед плошкой","Целиком за плошкой","Слева от плошки","Справа от плошки","Слева от плошки","Перед плошкой","Перед плошкой","За плошкой","Возле плошки слева","Справа от плошки","Слева от плошки","Справа от плошки","Слева от плошки","Справа от плошки","Прямо перед плошкой","За плошкой"
"2016/10/11 7:43:25 ДП GMT+3","левее вазы","правее вазы","близко к стулу","напротив яблока на другом краю","перед вазой","левее за вазой","за вазой","перед вазой","левее перед вазой","за вазой","слева на краю стола","напротив апельсина","слева от вазы","ближе к центру","левее около вазы","за вазой","слева рядом с вазой","правее далеко от вазы","в 3 четверти стола","в 4 четверти стола","слева на краю стола","справа ближе к краю стола","правее около вазы","на краю стола напротив апельсина"
"2016/10/11 9:07:56 ДП GMT+3","Близко к краю","Близко к плошке","Близко к краю","Почти у края","Близко к плошке","За плошкой","За плошкой","Справа и впереди от плошки","Слева впереди от плошки","За плошкой","На краю","Близко к краю","Рядом с плошкой","Посередине стола","Впереди плошки","За плошкой","Слева от плошки","Посередине стола","Посередине стола","Посередине стола","На краю стола","Близко к краю","Рядом с плошкой","На краю"
"2016/10/11 9:46:36 ДП GMT+3","слева от миски","справа от миски","слева от миски на краю стола","справа от миски на краю стола","снизу от миски на столе","сверху слева от миски","неизвестно","снизу возле вазы","снизу под вазой ","неизвестно","слева от вазы на краю стола","справа от вазы на краю стола","слева от вазы","слева от вазы","снизу возле вазы","неизвестно","слева от вазы","справа от вазы","слева от вазы","справа от вазы","слева от вазы на краю стола","справа от вазы на краю стола","снизу возле вазы","справа над вазой на краю стола"
"2016/10/11 10:01:55 ДП GMT+3","Ближе к красному стулу ","Ближе к миске ","Напротив апельсина ","Ближе к зрителю ","Ближе к зрителю ","Дальше от зрителя","В другой комнате ","Около миски ","Ближе к зрителю ","В Марокко ? ","На краю стола","На другом краю стола ","На столе ","Недалёко от яблока ","Около миски ","Неизвестно ","Около миски ","Чуть дальше от мраки ","На левой половине стола","На правой половине стола ","Напротив яблока ","Правее миски ","Около миски ","На краю стола "
"2016/10/11 10:49:58 ДП GMT+3","слева у края стола","справа ниже от плошки","около верхнего стула","слева по-центру ","на столе перед нами","на другом конце стола","предположительно за миской","перед миской","перед миской","нет","на краю стола","на противоположном краю","левее выше от миски","левее ниже","рядом с миской","не видно","слева от миски","укатился","слева от миски","справа от миски","слева","справа","справа, около миски","вверху стола, слева"
"2016/10/11 10:51:12 ДП GMT+3","Напротив яблока","Напротив апельсина","На краю стола","Перед зрителем","Перед зрителем","Далеко от зрителя","Его не видно","Перед плошкой ","Перед плошкой ","Его не видно","Напротив яблока","Напротив апельсина","У края стола","Перед зрителем","Перед плошкой ","Его не видно","У плошки","Справа от зрителя","Напротив яблока ","Напротив апельсина","На краю стола","На краю стола","Перед плошкой","На краю стола "
"2016/10/11 2:55:28 ПП GMT+3","справа от плошки","слева от плошки","на юго-запад от плошки","на северо-восток от плошки","перед плошкой","за плошкой","за плошкой","перед плошкой","перед плошкой","за плошкой","слева от плошки","справа от плошки","на запад от плошки","на юго-запад от плошки","перед плошкой","за плошкой","слева от плошки","справа от плошки","слева от плошки","справа от плошки","слева от плошки","слева от плошки","справа от плошки","на северо-запад от плошки"
"2016/10/11 7:30:28 ПП GMT+3","на 10 часов","на 3 часа","на два часа","на 8 часов","на семь часов","на 11 часов","его не видно","на пять часов","на 7 часов","его не видно","на 11 часов","на 4 часа","на 10 часов","на 8 часов","на 8 часов","его не видно","на 9 часов","на 4 часа","на 9 часов","на 3 часа","на 9 часов","на 3 часа","на 5 асов","на 11 часов"
"2016/10/11 7:45:41 ПП GMT+3","на краю стола рядом с плошкой","рядом с плошкой","на краю стола","на краю стола","за плошкой","перед плошкой","за плошкой","перед плошкой","перед плошкой","за плошкой","на краю стола","на краю стола","рядом с плошкой","перед плошкой","перед плошкой","за плошкой","рядом с плошкой","перед плошкой","сбоку от плошки","сбоку от плошки","на краю стола","на краю стола","перед плошкой","на краю стола"
"2016/10/11 7:54:31 ПП GMT+3","слева от плошки","справа от плошки","справа и сверху от плошки","слева и снизу от плошки","слева перед плошкой","слева за плошкой","за плошкой","справа перед плошкой","слева перед плошкой","за плошкой","слева и сверху от плошки","справа и снизу от плошки","слева и сверху от плошки","слева и снизу от плошки","слева перед плошкой","за плошкой","слева от плошки","справа и снизу от плошки","слева перед плошкой","справа перед плошкой","слева от плошки","справа от плошки","справа и снизу от плошки","слева и сверху от плошки"
"2016/10/11 8:03:13 ПП GMT+3","слева с краю","справа","на северо-востоке","на юго-западе","перед вазой","с краю","хуй знает, за вазой, видимо","перед вазой","перед вазой","хуй знает, за вазой, видимо","слева с краю","справа с краю","слева","слева","перед вазой","хуй знает, за вазой, видимо","слева","на юго-востоке","слева","справа","слева","справа","у вазы","с краю"
"2016/10/11 8:14:05 ПП GMT+3","слева от тарелки","справа от тарелки","справа чуть выше тарелки","слева чуть ниже тарелки","перед тарелкой","за тарелкой слева","апельсина нет","перед тарелкой","перед тарелкой чуть слева","нет апельсина","слева от тарелки","справа от тарелки","слева чуть выше тарелки","снизу чуть ниже тарелки","перед тарелкой чуть левее","апельсина нет","слева рядом с тарелкой","справа чуть ниже тарелки","слева рядом с тарелкой","справа чуть дальше тарелки","слева на одном уровне с тарелкой","справа на одном уровне с тарелкой","рядом с тарелкой","далеко от тарелки"
"2016/10/11 9:20:04 ПП GMT+3","Слева от плошки","Справа от плошки","Справа от плошки, рядом со стулом","Слева и снизу от плошки","Перед плошкой","За плошкой","За плошкой или в плошке","Перед плошкой","Перед плошкой","За плошкой или в плошке","Слева от плошки","Справа от плошки, ближе ко мне","Слева от плошки","Слева от плошки, ближе ко мне","Перед плошкой","За плошкой или в плошке","Слева от плошки","Справа-снизу от плошки","Слева от плошки","Справа от плошки","Слева от плошки","Справа от плошки","Снизу-справа, близко к плошке","Сверху-слева от плошки"
"2016/10/11 9:24:00 ПП GMT+3","на краю стола","ближе к центру стола","на крою стола, ближе к стулу","на краю стола, на противоположной стороне от яблока","перед глубокой тарелкой ","за глубокой тарелкой","не знаю ","у тарелки ","перед тарелкой","не знаю","на краю стола","на краю стола ","ближе к краю стола","ближе к миске в центре","перед тарелкой","не знаю ","около миски ","поодаль от яблока и миски","на столе","на противоположной стороне от апельсина ","на краю стола","на краю стола","около тарелки в центре","на краю стола"
"2016/10/11 10:05:49 ПП GMT+3","слева от вазы","справа от вазы","справа сзади от вазы","спереди слева от вазы","перед вазой","слева за вазой","за вазой","перед вазой чуть справа","перед вазой","за вазой","слева от вазы","справа от вазы чуть спереди","слева от вазы","спереди справа от вазы","слева чуть спереди от вазы","за вазой","слева от вазы","справа от вазы спереди","слева от вазы","справа от вазы","слева от вазы","справа от вазы","спереди справа от вазы","слева сзади от вазы"
"2016/10/11 11:00:00 ПП GMT+3","у края стола","рядом с вазой","у края стола","на краю стола","рядом с вазой","у края стола","за вазой","рядом с вазой","между вазой и краем стола","за вазой","на краю стола","на краю стола","между вазой и краем стола","рядом с вазой","рядом с вазой","за вазой","рядом с вазой","между вазой и краем стола","между вазой и краем стола","между вазой и краем стола","на краю стола","у края стола","рядом с вазой","на краю стола"
"2016/10/12 12:09:25 ДП GMT+3","Левее от плошки","Правее от плошки","Справа на краю стола","Слева на краю стола","Перед плошкой","Слева за плошкой","Нет его (в плошке или за ней)","У плошки справа","У плошки слева","Нет его (в плошке или за ней)","Слева","Справа","Вдали слева от плошки","Слева спереди плошки","Перед плошкой слева","Съели (в плошке, за ней или на стуле)","Слева от плошки по центру стола","Спереди стола справа от плошки","Слева от плошки","Справа от плошки","Слева от плошки","Справа от плошки ","Справа от плошки в центре стола э","На краю стола по диагонали от апельсина"
"2016/10/12 12:30:34 ДП GMT+3","С краю стола","Напротив плошки","С краю стола","С краю стола","Рядом с плошкой","За плошкой","За плошкой","На середине стола","Перед плошкой","За плошкой","С левого края стола","С правого края стола","За плошкой у края стола","Перед плошкой ","Перед плошкой ","За плошкой","С левой стороны от плошки","Перед плошкой","С левой стороны стола","С правой стороны стола","С левой стороны стола","С правой стороны стола","В центре стола перед плошкой ","За плошкой на краю стола "
"2016/10/12 9:04:13 ДП GMT+3","напротив стула","за тарелкой","напротив тарелки","на краю стола","перед тарелкой","напротив апельсина","нет","справа от тарелки","слева от тарелки","нет","на краю стола","напротив апельсина","напротив стула слева","рядом с тарелкой","слева от тарелки","в тарелке","около тарелки","между тарелкой и краем стола","напротив стула слева","напротив стула справа","на краю стола","напротив апельсина перед тарелкой","рядом с тарелкой","на краю стола"
"2016/10/12 12:47:30 ПП GMT+3","слева","Справа","ближе","дальше","снизу","слева","внутри чаши","под","снизу","внутри чаши","на краю","справа","слева","слева ниже","слева и ближе","в чаше","слева","справа ","слева","справа","слева","справа","справа","слева"
"2016/10/12 2:53:00 ПП GMT+3","Слева от миски","Справа от миски","справа","слева","Здесь","Там","Не знаю","Вот","Вот","Не знаю","слева","справа","Вон там","Здесь","под миской","не знаю","слева","справа","слева","справа","слева","справа","Здесь","Там"
"2016/10/12 5:31:48 ПП GMT+3","слева от вазы","справа от вазы","справа от вазы","слева от вазы","перед вазой","левее вазы","неизвестно, возможно, за вазой","перед вазой","перед вазой","я не знаю ((( я не брал. может быть, он за вазой?","слева от вазы, на краю стола","справа от вазы, на краю стола","слева от вазы","левее вазы","перед вазой","((( неизвестно","слева от вазы","справа от вазы, перед вазой","слева от вазы","справа от вазы","слева от вазы","справа от вазы","перед вазой","за вазой"
"2016/10/13 1:02:51 ДП GMT+3","на том краю стола, что слева от меня","на том краю стола, что справа от меня","неподалёку от стула, который ближе всего к столу","на краю стола. на противоположном от яблока краю","на столе рядом с вазой. между вазой (или плошкой?) и мной","на краю стола между двумя стульями, но далеко от апельсина","не знаю, не вижу!","рядом с плошкой/вазой/миской","на столе рядом с плошкой. между мной и плошкой.","на другой картинке. ","на самом краю стола. ближе к тому стулу, что подальше от стола ","слева от ближайшего к столу стула. на краю стола.","на таком же расстоянии от плошки, что и от апельсина. с моей точки зрения, левее центра стола","на противоположной ближайшему к столу стулу стороне стола","рядом с плошкой. чуть левее, с моей точки зрения.","не знаю","рядом с вазой или с миской","между вазой или миской и тем краем стола, что чуть правее от меня","слева","справа","на одной стороне стола","на другой стороне стола","совсем рядом с вазой","по другую сторону вазы от апельсина, но совсем далеко от центра стола"